Dataset,BIOME,Species,GrowthForm,Decid_Evergreen,Needle_Broadleaf,C3C4,N2_fixer,logLL,logLMA,logNmass,logPmass,logAmass,logRdmass
Ackerly_Jasper,WLAND,Adenostoma fasciculatum,S,E,N,C3,N,1.26,2.45,0.069,-0.932,1.69,
Ackerly_Jasper,WLAND,Arbutus menziesii,S,E,B,C3,N,1.17,2.19,0.094,-0.923,1.86,
Ackerly_Jasper,WLAND,Arctostaphylos tomentosa,S,E,B,C3,N,1.35,2.15,0.014,-0.994,1.88,
Ackerly_Jasper,WLAND,Artemisia californica,S,D,B,C3,N,,1.98,,,,
Ackerly_Jasper,WLAND,Baccharis pilularis,S,E,B,C3,N,0.95,2.03,0.388,-0.824,2.21,
Ackerly_Jasper,WLAND,Ceanothus cuneatus,S,E,B,C3,Y,1.17,2.36,0.255,-0.962,2,
Ackerly_Jasper,WLAND,Ceanothus oliganthus,S,E,B,C3,Y,1.04,2.08,0.328,-0.826,2.17,
Ackerly_Jasper,WLAND,Cercocarpus betuloides,S,E,B,C3,Y,1.07,2.14,0.382,-0.692,2.25,
Ackerly_Jasper,WLAND,Clematis lasiantha,V,D,B,C3,N,,1.87,,,,
Ackerly_Jasper,WLAND,Dirca occidentalis,S,D,B,C3,N,0.6,1.75,0.412,-0.761,2.13,
Ackerly_Jasper,WLAND,Eriodictyon californicum,S,E,B,C3,N,0.96,2.25,0.222,-0.805,2.02,
Ackerly_Jasper,WLAND,Heteromeles arbutifolia,S,E,B,C3,N,1.36,2.32,0.137,-0.879,1.77,
Ackerly_Jasper,WLAND,Holodiscus discolor,S,D,B,C3,N,0.66,1.89,0.288,-0.72,2.21,
Ackerly_Jasper,WLAND,Lepechinia calycina,S,D,B,C3,N,0.64,2,0.259,-0.922,2.1,
Ackerly_Jasper,WLAND,Lonicera hispidula,V,D,B,C3,N,,2.03,,,,
Ackerly_Jasper,WLAND,Lotus scoparius,S,D,B,C3,Y,0.3,1.98,0.361,-0.803,2.35,
Ackerly_Jasper,WLAND,Mimulus aurantiacus,S,E,B,C3,N,0.88,2.05,0.063,-0.921,2.09,
Ackerly_Jasper,WLAND,Pickeringia montana,S,E,B,C3,Y,,2.18,,,,
Ackerly_Jasper,WLAND,Prunus iIlicifolia,S,E,B,C3,N,1.22,2.18,0.311,-0.847,1.81,
Ackerly_Jasper,WLAND,Quercus agrifolia,S,E,B,C3,N,,2.29,,,,
Ackerly_Jasper,WLAND,Quercus durata,S,E,B,C3,N,,2.32,,,,
Ackerly_Jasper,WLAND,Rhamnus californica,S,E,B,C3,N,1.19,1.87,0.318,-0.689,2.16,
Ackerly_Jasper,WLAND,Rhamnus crocea,S,E,B,C3,N,1.13,2.1,0.328,-0.871,2,
Ackerly_Jasper,WLAND,Ribes californicum,S,D,B,C3,N,0.52,1.97,0.349,-0.875,2.07,
