"aspect","height","herbivores","area","logarea","sqrtarea"
"S","low","absent",87.9648,4.48824078588119,9.40557281615532
NA,"low","absent",1187.5248,7.08046815322116,34.4677356378396
NA,"low","absent",2177.9142,7.68658195830888,46.6734849780901
"S","low","absent",276.4608,5.62567966194692,16.6421392855606
"S","low","absent",593.7624,6.38816199806199,24.3774978207362
"S","low","absent",1470.2688,7.29388043674263,38.3506036458359
"S","low","absent",1140.4008,7.040011558996,33.7772230948608
NA,"low","absent",3732.2208,8.22502662530363,61.0959965955217
"S","low","absent",1256.64,7.1369922277849,35.4561701259456
NA,"low","absent",2131.5756,7.66508573008563,46.1744041650783
NA,"low","absent",1253.4984,7.13449109039713,35.4118398279445
"S","low","absent",626.7492,6.44214072364421,25.0449436014538
"S","low","absent",0,0,0.707106781186548
NA,"low","absent",1688.61,7.43225301205503,41.0987834369827
NA,"low","absent",1306.9056,7.17618235815885,36.1580641074712
NA,"low","absent",1745.9442,7.46562336915457,41.7904797770976
"S","low","present",142.9428,4.96941599844013,11.9767608308758
NA,"low","present",208.9164,5.34670935621843,14.4712266238906
NA,"low","present",0,0,0.707106781186548
"S","low","present",63.6174,4.1684837243656,8.0073341381511
"S","low","present",0,0,0.707106781186548
"S","low","present",0,0,0.707106781186548
"S","low","present",763.4088,6.63910272459708,27.6389001228341
NA,"low","present",1847.2608,7.52200036778548,42.9855882825861
"S","low","present",9.4248,2.34418758284856,3.15036505821151
NA,"low","present",69.1152,4.25013960363122,8.34357237638651
NA,"low","present",0,0,0.707106781186548
"S","low","present",16.4934,2.86182366693607,4.12230518035722
"S","low","present",0,0,0.707106781186548
NA,"low","present",1293.5538,7.16592135877603,35.9729592888881
NA,"low","present",11.781,2.54795969314958,3.50442577321877
NA,"low","present",7.0686,2.08797998519989,2.75110886734786
"S","mid","absent",0,0,0.707106781186548
NA,"mid","absent",622.0368,6.43460558606381,24.9506873652811
NA,"mid","absent",2167.704,7.68188503309559,46.5639774933371
"S","mid","absent",0,0,0.707106781186548
"S","mid","absent",25.9182,3.29280263775643,5.13986381142536
"S","mid","absent",37.6992,3.65581892798745,6.18055013732596
"S","mid","absent",2203.8324,7.69840677592182,46.9503184227754
NA,"mid","absent",523.8618,6.26313498984316,22.8989475740699
"S","mid","absent",376.992,5.93487303137446,19.4291533526297
NA,"mid","absent",1378.377,7.22938722694198,37.1332330938204
NA,"mid","absent",201.0624,5.30857656058915,14.1972673426966
"S","mid","absent",9.4248,2.34418758284856,3.15036505821151
"S","mid","absent",466.5276,6.14745838441926,21.6108213633818
NA,"mid","absent",276.4608,5.62567966194692,16.6421392855606
NA,"mid","absent",2073.456,7.63745422961789,45.540707065218
NA,"mid","absent",2297.295,7.73992282266748,47.9353210065396
"S","mid","present",0,0,0.707106781186548
NA,"mid","present",1036.728,6.94478898699752,32.2060242811807
NA,"mid","present",1229.9364,7.115530459537,35.0775768832455
"S","mid","present",307.0914,5.73039649219779,17.538283838506
"S","mid","present",38.4846,3.67591072246895,6.24376488987214
"S","mid","present",169.6464,5.13959357932006,13.0440177859431
"S","mid","present",656.5944,6.48858832789062,25.6338526171935
NA,"mid","present",1332.0384,7.19521612696559,36.5039504711476
"S","mid","present",1407.4368,7.25023571588018,37.5224839263074
NA,"mid","present",2095.4472,7.64799938146181,45.7815159207294
NA,"mid","present",400.554,5.99534201998443,20.0263326647692
"S","mid","present",98.9604,4.60477410755939,9.97298350545111
"S","mid","present",7.0686,2.08797998519989,2.75110886734786
NA,"mid","present",1610.07,7.3846538335055,40.1319075051261
NA,"mid","present",1665.048,7.41820963383635,40.8111259339901
NA,"mid","present",2012.1948,7.60747819194636,44.8630672156954
