Source,Reference,Organisms,Thermoregulation,Log body mass,Dispersal type,Trophic position,Realm,Habitat type,Hemisphere,Longitude,Scale,Grain log area kmsq,Diversity type,Range,Significance,Global richness log S,Measure,N,Slope b,SE b,Intercept,rz,Var rz
Abele 1974,Ecology 55:156-161,Decapods,Ecto,-0.65,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Atlantic,Local,-4,Alpha,20,No,3.92,S,10,-0.95,0.87,45.93,-0.37,0.14
Abele 1974,Ecology 55:156-161,Decapods,Ecto,-0.65,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Atlantic,Local,-4,Alpha,20,No,3.92,Index,10,-0.02,0.01,1.23,-0.44,0.14
Abenspergâ€êTraun and Stevens 1997,Aust J Ecol 22:471-476,Termites,Ecto,-2.3,Flying,Herbivores,Terrestrial,All terrestrial,S,Australasia,Regional,4.91,Ranges,35,Yes,3.42,S,137,-0.61,0.16,36.75,-0.32,0.01
Angel 1993,Conserv Biol 7:760-772,Decapods,Ecto,-0.65,Pelagic larvae,Omnivores,Marine,Pelagic ocean,N,Atlantic,Regional,,Alpha,49,Yes,3.92,S,6,-0.58,0.15,56.52,-1.4,0.33
Angel 1993,Conserv Biol 7:760-772,Fish,Ecto,2.43,Mobility,Omnivores,Marine,Pelagic ocean,N,Atlantic,Regional,,Alpha,49,Yes,4.4,S,6,-1.71,0.36,167.37,-1.61,0.33
Angel 1993,Conserv Biol 7:760-772,Ostracods,Ecto,-4.2,Pelagic larvae,Omnivores,Marine,Pelagic ocean,N,Atlantic,Regional,,Alpha,56,Yes,3.9,S,7,-0.94,0.24,91.61,-1.31,0.25
Angel 1993,Conserv Biol 7:760-772,Euphausiids,Ecto,-2.55,Pelagic larvae,Herbivores,Marine,Pelagic ocean,N,Atlantic,Regional,,Alpha,49,Yes,1.95,S,6,-0.38,0.1,37.1,-1.42,0.33
Arnold 1972,Am Nat 106:220-236,Amphibians,Ecto,1.06,Mobility,Omnivores,Terrestrial,Nonforest,N,Worldwide,Local,,Alpha,50,Yes,3.68,S,45,-0.24,0.05,17.33,-0.71,0.02
Arnold 1972,Am Nat 106:220-236,Lizards,Ecto,1.53,Mobility,Carnivores,Terrestrial,All terrestrial,N,Worldwide,Local,,Alpha,50,Yes,3.49,S,45,-0.37,0.05,22.29,-0.99,0.02
Arnold 1972,Am Nat 106:220-236,Snakes,Ecto,2.88,Mobility,Carnivores,Terrestrial,All terrestrial,N,Worldwide,Local,,Alpha,50,Yes,3.4,S,45,-0.62,0.08,37.32,-1.04,0.02
Asakura and Suzuki 1987,Mar Biol 95:75-82,Molluscs,Ecto,-0.78,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Pacific,Local,0.01,Alpha,12.33,No,5.11,S,5,-4.02,1.98,219.73,-0.72,0.5
Astorga et al. 2003,Ecol Lett 6:420-427,Anomuran crabs,Ecto,-0.65,Pelagic larvae,Omnivores,Marine,Benthos coastal,S,Atlantic,Regional,1.7,Ranges,44,Yes,2.78,S,45,-1.06,0.05,60.71,-1.89,0.02
