"Condition","nstretches","percent.stretching","treatment"
"BothStretching",33,36.7,"companion.inj"
"BothStretching",73,81.1,"companion.inj"
"BothStretching",60,66.7,"companion.inj"
"BothStretching",60,66.7,"companion.inj"
"BothStretching",40,44.4,"companion.inj"
"BothStretching",49,54.4,"companion.inj"
"BothStretching",57,63.3,"companion.inj"
"BothStretching",56,62.2,"companion.inj"
"BothStretching",53,58.9,"companion.inj"
"BothStretching",45,50,"companion.inj"
"BothStretching",49,54.4,"companion.inj"
"BothStretching",52,57.8,"companion.inj"
"OneStretching",51,56.7,"companion.notinj"
"OneStretching",46,51.1,"companion.notinj"
"OneStretching",45,50,"companion.notinj"
"OneStretching",46,51.1,"companion.notinj"
"OneStretching",40,44.4,"companion.notinj"
"OneStretching",2,2.2,"companion.notinj"
"OneStretching",37,41.1,"companion.notinj"
"OneStretching",30,33.3,"companion.notinj"
"OneStretching",23,25.6,"companion.notinj"
"OneStretching",20,22.2,"companion.notinj"
"OneStretching",13,14.4,"companion.notinj"
"OneStretching",3,3.3,"companion.notinj"
"OneStretching",58,64.4,"companion.notinj"
"Isolated",42,46.7,"isolated"
"Isolated",35,38.9,"isolated"
"Isolated",59,65.6,"isolated"
"Isolated",32,35.6,"isolated"
"Isolated",29,32.2,"isolated"
"Isolated",27,30,"isolated"
"Isolated",37,41.1,"isolated"
"Isolated",57,63.3,"isolated"
"Isolated",0,0,"isolated"
"Isolated",48,53.3,"isolated"
"Isolated",20,22.2,"isolated"
"Isolated",44,48.9,"isolated"
"Isolated",5,5.6,"isolated"
"Isolated",13,14.4,"isolated"
"Isolated",42,46.7,"isolated"
"Isolated",41,45.6,"isolated"
"Isolated",38,42.2,"isolated"
