pond,predation,competitor,N,s,se
5,add,benthivore,156,0.15,0.19
5,add,zooplanktivore,237,-0.41,0.18
6,add,benthivore,51,0.54,0.32
6,add,zooplanktivore,106,-0.32,0.31
7,add,benthivore,149,0.22,0.26
7,add,zooplanktivore,130,-0.86,0.26
1,reduce,benthivore,124,-0.26,0.22
1,reduce,zooplanktivore,154,-0.35,0.23
2,reduce,benthivore,174,0.32,0.21
2,reduce,zooplanktivore,161,-0.50,0.19
3,reduce,benthivore,204,-0.21,0.19
3,reduce,zooplanktivore,171,-0.47,0.23
4,reduce,benthivore,120,0.25,0.24
4,reduce,zooplanktivore,142,0.26,0.26
