species,taxon,studytype,temporal.repl,spatial.repl,id.repl,traitclass,traitname,ntraits,fit.comp,nfit.measures,fitness.measure,beta,se.beta,s,se.s,N,sex.or.group,authors,year,journal,vol:p-p,id.study,
Gryllus pennsylvanicus,invert,C,1,1,1,MO,Pronotum Length,3,M,1,Pairing success,0.175,NA,0.212,NA,47,M,Zuk,1988,Evolution,42:969-976,CEH1,
Gryllus pennsylvanicus,invert,C,1,1,1,MO,Body Length,3,M,1,Pairing success,0.08,NA,0.215,NA,47,M,Zuk,1988,Evolution,42:969-977,CEH1,
Gryllus pennsylvanicus,invert,C,1,1,1,LH,Age,3,M,1,Pairing success,0.38,NA,0.376,NA,47,M,Zuk,1988,Evolution,42:969-978,CEH1,
Geospiza conirostris,vert,L,1,1,1,MO,Bill Depth,5,S,5,longevity,-0.11,0.16,-0.07,NA,26,F,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,1,1,1,MO,Bill Length,5,S,5,longevity,0.17,0.08,0.12,NA,26,F,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,1,1,1,MO,Bill Width,5,S,5,longevity,-0.03,0.16,-0.07,NA,26,F,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,1,1,1,MO,Bill Depth,5,M,5,Obtaining a territory next to a bird with a different song type,0.59,0.63,0.61,NA,14,M,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,1,1,1,MO,Bill Length,5,M,5,Obtaining a territory next to a bird with a different song type,0.5,0.43,0.63,NA,14,M,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,1,1,1,MO,Bill Width,5,M,5,Obtaining a territory next to a bird with a different song type,-0.37,0.71,0.55,NA,14,M,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,3,1,1,MO,Plumage color,5,M,5,Pairing Date,0.32,0.08,0.38,NA,23,M,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,3,1,1,BE,Neighbor's song type,5,M,5,Pairing Date,0.26,0.09,0.3,NA,23,M,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,3,1,1,MO,Bill Depth,5,M,5,Pairing Date,-0.19,0.09,0.05,NA,23,M,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,3,1,1,MO,Bill Length,5,M,5,Pairing Date,0.12,0.1,-0.15,NA,23,M,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,3,1,1,MO,Bill Width,5,M,5,Pairing Date,-0.21,0.19,-0.18,NA,23,M,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,3,1,2,MO,Plumage color,5,M,5,Pairing Date,0.27,0.1,0.32,NA,34,M,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,3,1,2,BE,Neighbor's song type,5,M,5,Pairing Date,0.19,0.1,0.29,NA,34,M,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,3,1,2,MO,Bill Depth,5,M,5,Pairing Date,0.02,0.1,0.01,NA,34,M,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,3,1,2,MO,Bill Length,5,M,5,Pairing Date,-0.17,0.19,-0.01,NA,34,M,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,3,1,2,MO,Bill Width,5,M,5,Pairing Date,0.08,0.19,0.01,NA,34,M,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,3,1,3,MO,Plumage color,5,M,5,Pairing Date,0.2,0.1,0.23,NA,26,M,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,3,1,3,BE,Neighbor's song type,5,M,5,Pairing Date,0.29,0.1,0.31,NA,26,M,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,3,1,3,MO,Bill Depth,5,M,5,Pairing Date,0.05,0.1,0.18,NA,26,M,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,3,1,3,MO,Bill Length,5,M,5,Pairing Date,0.16,0.19,0.13,NA,26,M,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,3,1,3,MO,Bill Width,5,M,5,Pairing Date,0.23,0.19,0.13,NA,26,M,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,1,1,1,MO,Bill Depth,5,F,5,Clutches produced,-0.31,0.14,0.02,NA,13,F,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,1,1,1,MO,Bill Length,5,F,5,Clutches produced,0.21,0.09,0.09,NA,13,F,Grant,1985,Evolution,39:523-532,CEH2,
