bug,headwidth,bodylength,femurlength,bodyhue
7798,0.15,1.46,0.26,62.7
7824,0.18,1.36,0.23,58.7
7904,0.17,1.45,0.25,75.7
7928,0.21,1.96,0.26,80.3
8015,0.15,1.32,0.23,85
8016,0.19,1.22,0.23,69
8172,0.18,1.26,0.22,68.7
8224,0.18,1.33,0.21,63.7
8229,0.18,1.56,0.24,82.7
8264,0.19,1.68,0.24,76
8289,0.17,1.77,0.29,87
8303,0.19,1.99,0.23,71.3
8380,0.16,1.54,0.18,80.7
8398,0.15,1.35,0.27,79.7
8402,0.19,1.97,0.23,82
8483,0.18,1.35,0.23,74.3
8525,0.15,1.22,0.14,72
8618,0.17,1.33,0.19,60.7
9420,0.2,1.93,0.31,89
15601,0.18,1.42,0.23,82.7
15611,0.18,1.32,0.16,67.3
15822,0.17,1.14,0.22,73
17031,0.16,1.28,0.19,69.7
17479,0.18,1.44,0.21,68.3
17513,0.17,1.72,0.19,79
7798,0.15,1.46,0.26,64.3
7824,0.18,1.02,0.19,60.3
7904,0.18,1.47,0.23,71
7928,0.21,1.95,0.26,78.3
8015,0.16,1.14,0.22,86.3
8016,0.19,1.23,0.23,69
8172,0.17,1.27,0.23,70.7
8224,0.23,1.78,0.28,64
8229,0.17,1.58,0.26,83.7
8264,0.21,1.69,0.2,76
8289,0.2,1.8,0.25,87
8303,0.21,2.07,0.23,71.3
8380,0.18,1.58,0.19,78.7
8398,0.18,1.32,0.24,77.7
8402,0.21,1.83,0.29,82.7
8483,0.19,1.33,0.23,69.3
8525,0.15,1.21,0.15,75.3
8618,0.17,1.34,0.19,67.7
9420,0.21,1.97,0.27,86.7
15601,0.18,1.42,0.24,71.7
15611,0.16,1.32,0.15,74.7
15822,0.18,1.14,0.2,82.3
17031,0.13,1.3,0.18,72.3
17479,0.16,1.41,0.21,71.3
17513,0.17,1.71,0.2,81
