"Species","Island","Ecomorph","Series.Clade","SVLength","bigIsland"
"Anolis brunneus","Bahamas","Trunk-Crown","carolinensis",NA,NA
"Anolis fairchildi","Bahamas","Trunk-Crown","carolinensis",NA,NA
"Anolis smaragdinus","Bahamas","Trunk-Crown","carolinensis",NA,NA
"Anolis ernestwilliamsi","Carrot Rock","Trunk-Ground","cristatellus",NA,NA
"Anolis baracoae","Cuba","Crown-Giant","equestris",154.9,"Cuba"
"Anolis equestris","Cuba","Crown-Giant","equestris",166.33,"Cuba"
"Anolis luteogularis","Cuba","Crown-Giant","equestris",164.2,"Cuba"
"Anolis noblei","Cuba","Crown-Giant","equestris",161.33,"Cuba"
"Anolis pigmaequestris","Cuba","Crown-Giant","equestris",NA,"Cuba"
"Anolis smallwoodi","Cuba","Crown-Giant","equestris",153.71,"Cuba"
"Anolis alfaroi","Cuba","Grass-Bush","alutaceus",34.01,"Cuba"
"Anolis alutaceus","Cuba","Grass-Bush","alutaceus",34.98,"Cuba"
"Anolis anfiloquioi","Cuba","Grass-Bush","alutaceus",NA,"Cuba"
"Anolis clivicola","Cuba","Grass-Bush","alutaceus",42.89,"Cuba"
"Anolis cupeyalensis","Cuba","Grass-Bush","alutaceus",31.88,"Cuba"
"Anolis cyanopleurus","Cuba","Grass-Bush","alutaceus",37.72,"Cuba"
"Anolis fugitivus","Cuba","Grass-Bush","alutaceus",NA,"Cuba"
"Anolis inexpectatus","Cuba","Grass-Bush","alutaceus",34.38,"Cuba"
"Anolis juangundlachi","Cuba","Grass-Bush","alutaceus",NA,"Cuba"
"Anolis macilentus","Cuba","Grass-Bush","alutaceus",41.09,"Cuba"
"Anolis ophiolepis","Cuba","Grass-Bush","sagrei",38.01,"Cuba"
"Anolis rejectus","Cuba","Grass-Bush","alutaceus",NA,"Cuba"
"Anolis spectrum","Cuba","Grass-Bush","alutaceus",NA,"Cuba"
"Anolis vanidicus","Cuba","Grass-Bush","alutaceus",37.57,"Cuba"
"Anolis vescus","Cuba","Grass-Bush","alutaceus",NA,"Cuba"
"Anolis loysianus","Cuba","Trunk","angusticeps",NA,"Cuba"
"Anolis allisoni","Cuba","Trunk-Crown","carolinensis",79.47,"Cuba"
"Anolis altitudinalis","Cuba","Trunk-Crown","carolinensis",46.66,"Cuba"
"Anolis incredulus","Cuba","Trunk-Crown","carolinensis",NA,"Cuba"
"Anolis isolepis","Cuba","Trunk-Crown","carolinensis",38.75,"Cuba"
"Anolis oporinus","Cuba","Trunk-Crown","carolinensis",46.79,"Cuba"
"Anolis porcatus","Cuba","Trunk-Crown","carolinensis",70.74,"Cuba"
"Anolis toldo","Cuba","Trunk-Crown","carolinensis",NA,"Cuba"
"Anolis ahli","Cuba","Trunk-Ground","sagrei",56.78,"Cuba"
"Anolis allogus","Cuba","Trunk-Ground","sagrei",56.83,"Cuba"
"Anolis birama","Cuba","Trunk-Ground","sagrei",NA,"Cuba"
"Anolis bremeri","Cuba","Trunk-Ground","sagrei",61.15,"Cuba"
"Anolis confusus","Cuba","Trunk-Ground","sagrei",51.34,"Cuba"
"Anolis delafuentei","Cuba","Trunk-Ground","sagrei",NA,"Cuba"
"Anolis guafe","Cuba","Trunk-Ground","sagrei",48.3,"Cuba"
"Anolis homolechis","Cuba","Trunk-Ground","sagrei",56.42,"Cuba"
"Anolis imias","Cuba","Trunk-Ground","sagrei",60.32,"Cuba"
"Anolis jubar","Cuba","Trunk-Ground","sagrei",52.07,"Cuba"
"Anolis mestrei","Cuba","Trunk-Ground","sagrei",53.9,"Cuba"
"Anolis quadriocellifer","Cuba","Trunk-Ground","sagrei",49.48,"Cuba"
"Anolis rubribarbus","Cuba","Trunk-Ground","sagrei",59.05,"Cuba"
"Anolis alayoni","Cuba","Twig","angusticeps",45.41,"Cuba"
"Anolis garridoi","Cuba","Twig","angusticeps",NA,"Cuba"
"Anolis guazuma","Cuba","Twig","angusticeps",43.12,"Cuba"
"Anolis paternus","Cuba","Twig","angusticeps",44.83,"Cuba"
"Anolis argenteolus","Cuba",NA,"lucius",53.05,"Cuba"
"Anolis argillaceus","Cuba",NA,"angusticeps",42.86,"Cuba"
"Anolis bartschi","Cuba",NA,"bartschi",72.28,"Cuba"
"Anolis centralis","Cuba",NA,"angusticeps",40.36,"Cuba"
"Anolis Chamaeleolis agueroi","Cuba",NA,"Chamaeleolis",NA,"Cuba"
"Anolis Chamaeleolis barbatus","Cuba",NA,"Chamaeleolis",149,"Cuba"
"Anolis Chamaeleolis chamaeleonides","Cuba",NA,"Chamaeleolis",154.83,"Cuba"
"Anolis Chamaeleolis guamuhaya","Cuba",NA,"Chamaeleolis",154,"Cuba"
"Anolis Chamaeleolis porcus","Cuba",NA,"Chamaeleolis",154.17,"Cuba"
"Anolis litoralis","Cuba",NA,"angusticeps",NA,"Cuba"
"Anolis lucius","Cuba",NA,"lucius",66.61,"Cuba"
"Anolis pumilus","Cuba",NA,"angusticeps",NA,"Cuba"
"Anolis ruibali","Cuba",NA,"angusticeps",NA,"Cuba"
"Anolis terueli","Cuba",NA,"angusticeps",NA,"Cuba"
"Anolis vermiculatus","Cuba",NA,"bartschi",121.86,"Cuba"
"Anolis angusticeps","Cuba.Bahamas","Twig","angusticeps",44.19,"Cuba"
"Anolis sagrei","Cuba.Bahamas.Other islands","Trunk-Ground","sagrei",58.39,"Cuba"
"Anolis desechensis","Desecheo","Trunk-Ground","cristatellus",NA,NA
"Anolis conspersus","Grand Cayman","Trunk-Crown","grahami",NA,NA
"Anolis baleatus","Hispaniola","Crown-Giant","ricordii",156.5,"Hispaniola"
"Anolis barahonae","Hispaniola","Crown-Giant","ricordii",160.29,"Hispaniola"
"Anolis ricordii","Hispaniola","Crown-Giant","ricordii",150.5,"Hispaniola"
"Anolis alumina","Hispaniola","Grass-Bush","semilineatus",36.2,"Hispaniola"
"Anolis bahorucoensis","Hispaniola","Grass-Bush","hendersoni",45.95,"Hispaniola"
"Anolis dolichocephalus","Hispaniola","Grass-Bush","hendersoni",49.83,"Hispaniola"
"Anolis hendersoni","Hispaniola","Grass-Bush","hendersoni",47.46,"Hispaniola"
"Anolis koopmani","Hispaniola","Grass-Bush","monticola",NA,"Hispaniola"
"Anolis olssoni","Hispaniola","Grass-Bush","semilineatus",44.43,"Hispaniola"
"Anolis semilineatus","Hispaniola","Grass-Bush","semilineatus",40.31,"Hispaniola"
"Anolis altavelensis","Hispaniola","Trunk","distichus",NA,"Hispaniola"
"Anolis brevirostris","Hispaniola","Trunk","distichus",48.14,"Hispaniola"
"Anolis caudalis","Hispaniola","Trunk","distichus",49.99,"Hispaniola"
"Anolis marron","Hispaniola","Trunk","distichus",46.15,"Hispaniola"
"Anolis websteri","Hispaniola","Trunk","distichus",50.23,"Hispaniola"
"Anolis aliniger","Hispaniola","Trunk-Crown","chlorocyanus",56.63,"Hispaniola"
"Anolis chlorocyanus","Hispaniola","Trunk-Crown","chlorocyanus",71.91,"Hispaniola"
"Anolis coelestinus","Hispaniola","Trunk-Crown","chlorocyanus",73.55,"Hispaniola"
"Anolis singularis","Hispaniola","Trunk-Crown","chlorocyanus",57.86,"Hispaniola"
"Anolis armouri","Hispaniola","Trunk-Ground","cybotes",61.66,"Hispaniola"
"Anolis cybotes","Hispaniola","Trunk-Ground","cybotes",67.42,"Hispaniola"
"Anolis haetianus","Hispaniola","Trunk-Ground","cybotes",74.93,"Hispaniola"
"Anolis longitibialis","Hispaniola","Trunk-Ground","cybotes",69.55,"Hispaniola"
